SMILES,pIC50_pred,IC50_nM_est,IC50_tier,docking_pred,zbg_tag,pains_brenk_flagged,soft_metabolic_liability,sa_score,MW,cLogP,HBD,HBA,TPSA,RotB,l_shape_2d_proxy,pIC50_hdac1_pred,pIC50_hdac6_pred,selectivity_vs_hdac1,selectivity_vs_hdac6,docking_hdac1_pred,docking_hdac6_pred,docking_selectivity,passes_ic50_selectivity,periphery_touched,ic50_model_max_similarity,dock_model_max_similarity,ic50_model_low_confidence,dock_model_low_confidence,zbg_precedent_count,zbg_low_precedent,zbg_real_pic50_ceiling,exceeds_real_precedent,cluster_id,cluster_size
CC(=O)C(O)(C(ON1CCOCC1)C(=O)O)n1cccc(O)c1=S,6.414459767476623,385.070485497335,Tier 3 (300-500 nM),-7.185516879797907,3-HPT,True,False,4.254599038335586,358.372,-0.12570999999999954,3,8,121.46,6,1.4958187601599544,5.03010312420737,5.0827607599765425,1.3843566432692525,1.33169900750008,-6.52601576555172,-6.715579326293952,0.4699375535039554,True,False,0.2807017543859649,0.29577464788732394,True,True,27,False,6.247789037426088,True,25,1
N#Cc1ccc(-c2c(N)nnn2CCCCCCCn2cccc(O)c2=S)c(NF)c1,6.382126754498368,414.83295056698495,Tier 3 (300-500 nM),-7.643031691775784,3-HPT,True,False,3.3274215357702293,441.536,4.582670000000004,3,7,117.71000000000002,10,2.905398129712172,6.693589779348236,5.941481638945275,-0.31146302484986776,0.44064511555309327,-6.614166779525558,-6.566116561902725,1.028864912250226,False,True,0.4794520547945205,0.2840909090909091,False,True,27,False,6.247789037426088,True,20,3
N#Cc1ccc(-c2c(N)nnn2CCCCCCCn2cccc(O)c2=S)c(N2CCNCC2)c1,6.355828159209972,440.7292158835417,Tier 3 (300-500 nM),-7.225825629617348,3-HPT,True,False,3.1995821511366236,492.6530000000002,3.695870000000002,3,8,120.95000000000002,10,2.9886152350488513,7.052032823554649,5.957829355071668,-0.6962046643446769,0.3979988041383038,-6.672759111540573,-6.128178599866371,0.5530665180767746,False,True,0.4605263157894737,0.2608695652173913,False,True,27,False,6.247789037426088,True,20,3
CC(C)COCc1ccc(C(=O)NC(=O)NC2CN3CCC2CC3N)cc1,7.399055559661567,39.8973858032954,Tier 1 (<150 nM),-8.340232650311268,Acylurea,False,True,4.33563632862767,374.4850000000001,1.6776000000000002,3,5,96.68999999999998,6,5.825707998657132,7.264740493674787,5.926059050163075,0.13431506598677956,1.4729965094984916,-6.767707158631185,-6.8827915429847994,1.4574411073264688,False,False,0.45454545454545453,0.32926829268292684,False,True,24,False,8.481486060122112,False,5,14
CC(C)COCOOc1ccc(C(=O)NC(=O)NC2CN3CCC2CC3)cc1CN,7.300389780599229,50.07376183785695,Tier 1 (<150 nM),-8.328398555058223,Acylurea,True,True,4.107967076255816,420.51000000000033,1.6194000000000008,3,7,115.15,9,4.527499838343022,6.467029733309929,5.919293364638614,0.8333600472892995,1.3810964159606147,-6.374850231576609,-6.887983846274951,1.4404147087832726,False,False,0.5074626865671642,0.2839506172839506,False,True,24,False,8.481486060122112,False,2,30
CCOCC1N2CCC(CC2)C1(O)NC(=O)NC(=O)c1ccc(OCC(C)C)c(N)c1,7.262693865212424,54.61427021922779,Tier 1 (<150 nM),-7.537035221025778,Acylurea,True,True,4.455329468013913,434.53700000000026,1.5623000000000007,4,7,126.15,8,3.159747329920242,5.853722322173426,5.747978468309025,1.408971543038998,1.5147153969033988,-6.146889223629923,-6.3083586141898245,1.2286766068359531,True,False,0.26506024096385544,0.2875,True,True,24,False,8.481486060122112,False,19,2
CC(C)COCc1c(Cc2ccccc2)cc(C(=O)O)cc1C(=O)NC1CC1O,6.817991010654171,152.05790034666262,Tier 2 (150-300 nM),-7.347713893032227,Carboxylate,False,False,3.213198389594604,397.4710000000001,3.011200000000001,3,4,95.86,9,1.7216497855793376,6.582488314885168,5.8588228230861725,0.23550269576900273,0.9591681875679985,-6.368190258715916,-6.269542189100471,0.9795236343163118,False,True,0.28205128205128205,0.2894736842105263,True,True,148,False,9.69897000433602,False,13,5
COc1c(C(=O)O)cc(Cc2ccccc2)c(COCC(C)C)c1C(=O)NC1CC1Cl,6.666502103515182,215.52512045327427,Tier 2 (150-300 nM),-7.306471644190236,Carboxylate,True,False,3.471165712399758,445.9430000000002,4.266300000000004,2,4,84.86000000000001,10,1.0927279781918884,6.080378825455285,5.764943411625144,0.5861232780598966,0.9015586918900373,-5.584598456616105,-6.515727980068253,0.7907436641219832,False,True,0.29069767441860467,0.3076923076923077,True,True,148,False,9.69897000433602,False,13,5
CC(C)COCc1c(Cc2ccccc2)cc(C(=O)O)cc1C(=O)NC1CC1Cl,6.537004510689713,290.3992492724813,Tier 2 (150-300 nM),-7.2946004901975146,Carboxylate,True,False,3.28442473574845,415.91700000000014,4.2577000000000025,2,3,75.63,9,1.7216497855793376,6.087209715939428,5.77771854223192,0.44979479475028494,0.7592859684577933,-6.262378760420551,-6.564927298786232,0.7296731914112824,False,True,0.2948717948717949,0.3026315789473684,True,True,148,False,9.69897000433602,False,13,5
O=C(O)c1cc(Cc2ccccc2)c(CO)c(C(=O)NC2CC2c2ccncc2)c1,6.497186050864738,318.2833710190682,Tier 3 (300-500 nM),-7.404980484318039,Carboxylate,False,False,3.189184499917115,402.4500000000001,3.1488000000000014,3,4,99.52,7,1.9306184351680484,6.013987420204199,6.038106924305432,0.4831986306605396,0.45907912655930616,-6.746961985884207,-6.707453896264316,0.6580184984338322,False,True,0.34375,0.2876712328767123,True,True,148,False,9.69897000433602,False,29,1
