SMILES,pIC50_pred,IC50_nM_est,IC50_tier,docking_pred,zbg_tag,pains_brenk_flagged,soft_metabolic_liability,sa_score,MW,cLogP,HBD,HBA,TPSA,RotB,l_shape_2d_proxy,pIC50_hdac1_pred,pIC50_hdac6_pred,selectivity_vs_hdac1,selectivity_vs_hdac6,docking_hdac1_pred,docking_hdac6_pred,docking_selectivity,passes_ic50_selectivity,ic50_model_max_similarity,dock_model_max_similarity,ic50_model_low_confidence,dock_model_low_confidence,zbg_precedent_count,zbg_low_precedent,zbg_real_pic50_ceiling,exceeds_real_precedent,cluster_id,cluster_size
CCCCc1c(C#N)cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc1C(=O)Cc1ccc(O)cc1,7.624631276607831,23.733878971388997,Tier 1 (<150 nM),-7.134335731485598,Acylurea,False,True,3.9699086145193876,488.58800000000036,3.5654800000000026,3,6,122.53000000000002,8,1.582931903478315,6.597120513282857,6.015858968696756,1.0275107633249734,1.6087723079110745,-5.7850469969908245,-6.46515394394048,0.669181787545118,False,0.5,0.27956989247311825,False,True,24,False,8.481486060122112,False,2,39
N#CCCc1c(C#N)cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc1C(=O)Cc1ccccc1,7.6184527218438625,24.073945785203062,Tier 1 (<150 nM),-7.274917254686516,Acylurea,False,True,4.013044255628218,469.54500000000036,2.973460000000001,2,6,126.09,7,1.7398139493809681,6.786431419064401,5.8293162233558835,0.8320213027794612,1.789136498487979,-6.649814137692809,-6.670368784545043,0.6045484701414727,False,0.4838709677419355,0.30337078651685395,False,True,24,False,8.481486060122112,False,2,39
N#CCCNCCCc1ccc2c(c1N1CCNCC1)C1=NC(N)CC(CO)N1C(=S)S2,7.604345756354462,24.86876644319791,Tier 1 (<150 nM),-8.277875393188937,Cyclic-thione,True,False,4.37334317869674,473.67200000000025,1.0206800000000016,4,9,112.94,8,2.416861701539428,6.548837173903484,6.2233777186414505,1.0555085824509778,1.3809680377130116,-6.782699395068526,-6.826955318130125,1.4509200750588125,False,0.3163265306122449,0.19230769230769232,True,True,50,False,7.244125144327508,True,3,3
Cc1ccccc1CC(=O)c1cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc(C#N)c1CCCN,7.601713547397359,25.019950872267472,Tier 1 (<150 nM),-7.007307431371906,Acylurea,False,True,4.018614496872329,487.60400000000044,2.7170000000000005,3,6,128.32,8,2.0142887775847744,6.517218098116073,6.070972697050515,1.0844954492812855,1.5307408503468434,-6.49661454123719,-6.693474427207936,0.3138330041639703,False,0.484375,0.3076923076923077,False,True,24,False,8.481486060122112,False,2,39
NC(=O)c1cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc(N2CCOCC2)c1N1CCOCC1,7.557928221440052,27.673989929221666,Tier 1 (<150 nM),-7.253750617615412,Acylurea,False,True,3.997456159664776,486.5730000000005,-0.007699999999996487,3,8,129.46999999999997,5,2.4354803651728556,6.842922112308477,6.985111640793519,0.7150061091315747,0.5728165806465322,-6.7244849089371606,-6.958956269331841,0.2947943482835713,False,0.5849056603773585,0.28378378378378377,False,True,24,False,8.481486060122112,False,7,12
CCC1CC1C(=CC(=O)Nc1ccccc1N)c1c(C)cc(CC#N)cc1N1CCNCC1,7.557249872257477,27.717249279461512,Tier 1 (<150 nM),-7.031363459362147,Ortho-aminoanilide,True,False,3.822916137857751,443.5950000000003,4.121100000000003,3,5,94.17999999999999,7,1.6648063595562967,5.803329610081273,5.50008584188943,1.7539202621762033,2.057164030368047,-4.813236488753357,-6.277544408842985,0.7538190505191622,True,0.4567901234567901,0.24489795918367346,False,True,385,False,6.7447274948966935,True,14,2
CCCCc1c(C#N)cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc1C(=O)Cc1ccc(C)cc1,7.54301041134338,28.641093077794906,Tier 1 (<150 nM),-7.297706873609987,Acylurea,False,True,3.911948886012601,486.6160000000004,4.168300000000004,2,5,102.30000000000001,8,1.582931903478315,6.5333631480969006,6.029145792735337,1.009647263246479,1.513864618608043,-5.060292647035107,-6.467189845941699,0.8305170276682876,False,0.46875,0.2826086956521739,False,True,24,False,8.481486060122112,False,2,39
NCCCCc1ccc2c(c1N1CCNCC1)C1=NC(CCO)CC(N)N1C(=S)S2,7.534796441716027,29.18794762519127,Tier 1 (<150 nM),-7.895272506160718,Cyclic-thione,True,False,4.290464106357186,448.66200000000015,1.2563000000000009,4,8,103.13999999999999,7,1.4428550211040343,6.061567642284194,6.403560267373107,1.4732287994318334,1.13123617434292,-6.403221936396722,-6.920703023387276,0.9745694827734424,False,0.32857142857142857,0.1836734693877551,True,True,50,False,7.244125144327508,True,1,41
CC(Cl)c1c(C(N)=O)cc(C(=O)NC(=O)NC2CN3CCC2CC3)cc1N1CCOCC1,7.531367363124644,29.41932045234486,Tier 1 (<150 nM),-7.326999188038222,Acylurea,True,True,4.2869913708503855,463.96600000000046,1.4555000000000002,3,6,116.99999999999999,5,2.2241534447572504,6.784756945113942,6.385499025727253,0.746610418010702,1.145868337397391,-6.364495551790592,-6.4509685934363485,0.8760305946018736,False,0.5344827586206896,0.2717391304347826,False,True,24,False,8.481486060122112,False,7,12
NC1CC(N)N2C(=S)Sc3ccc(CCCNCc4ccncc4)c(N4CCNCC4)c3C2=N1,7.519707673438426,30.219851546716736,Tier 1 (<150 nM),-7.994904624918035,Cyclic-thione,True,False,4.228950382174717,496.71000000000026,1.6261000000000012,4,9,107.83,7,2.2531378888129505,6.446702759517054,6.3167129032680345,1.0730049139213724,1.2029947701703918,-5.969500465249869,-6.856508274054041,1.138396350863994,False,0.32954545454545453,0.2087912087912088,True,True,50,False,7.244125144327508,True,1,41
