canonical_smiles,pIC50,n_measurements
C#Cc1cnc[n+](C)c1,4.6777807052660805,1
C#Cc1nc(/C=C/C(=O)NO)cs1,5.7447274948966935,1
C#Cc1nc(/C=C/C=C/C(=O)NO)cs1,6.173925197299173,1
C#Cc1nc(/C=C/CCCCCC(=O)NO)cs1,6.568636235841012,1
C#Cc1nc(/C=C\CCCCCC(=O)NO)cs1,6.327902142064282,1
C#Cc1nc(C(=O)NCCCCCCC(=O)NO)cs1,6.494850021680094,1
C#Cc1nccc[n+]1C,4.596367660135226,5
C/C(=C\C(=O)NO)c1ccc(CNC2CCN(c3ncc(-c4ccc(OCC(C)(C)O)c(O)c4)c(-c4ccc(C#N)c(F)c4)c3C#N)CC2)cc1,7.782855301648063,2
C/C(=C\C(C)/C=C/C(=O)NO)C(=O)c1ccc(N(C)C)cc1,5.860120913598763,1
C/C(=C\Cc1ccc(NS(=O)(=O)c2ccccc2)cc1)CC(=O)NO,5.698970004336019,1
C/C(=C\[C@@H](C)/C=C/C(=O)NO)C(=O)c1ccc(N(C)C)cc1,6.505567101273601,1
C/C(=C\[C@H](C)/C=C/C(=O)NO)C(=O)c1ccc(N(C)C)cc1,6.386686838544541,1
C/C(=C\c1ccc(C(=O)NO)cc1)CNc1cnc2c(Br)cccc2c1,7.552841968657781,1
C/C(=N\N(C)C(=O)c1ccc(N(C)C)cc1)c1ccc(C(=O)NO)cc1,7.267606240177031,1
C/C(=N\NC(=O)c1ccc(N(C)C)cc1)c1ccc(C(=O)NO)cc1,6.958607314841775,1
C/C(=N\O)c1ccc2c(c1)N(Cc1ccc(C(=O)NO)cc1)c1ccccc1S2,6.481486060122112,1
C/C(=N\O)c1ccc2c(c1)N(Cc1ccc(C(=O)NO)cc1)c1ccccc1S2=O,5.790484985457369,1
C/C=C1/NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)NC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,7.585026652029182,1
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,7.3979400086720375,1
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)NC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,7.593543321678572,2
C/C=C1\NC(=O)[C@H](CS)NC(=O)[C@@H](C(C)C)NC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,7.6020599913279625,1
C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,8.0,1
C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,7.7482016364028965,7
C/C=C1\NC(=O)c2csc(n2)CNC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,5.449771646944906,1
C/C=C1\NC(=O)c2csc(n2)CNC(=O)C[C@@H](/C=C/CCSC(=O)CCCCCCC)OC(=O)[C@H](C(C)C)NC1=O,5.402304814074488,1
C/C=C1\NC(=O)c2csc(n2)CNC(=O)C[C@@H](/C=C/CCSSCCCCCCC)OC(=O)[C@H](CCCCNC(=O)CCCCC[N+]2=C(/C=C/C=C/C=C3/N(CC)c4ccc5c(S(=O)(=O)O)cc(S(=O)(=O)O)cc5c4C3(C)C)C(C)(C)c3c2ccc2c(S(=O)(=O)[O-])cc(S(=O)(=O)O)cc32)NC1=O,6.084072788302884,1
C/C=C1\NC(=O)c2csc(n2)[C@@H](C(C)C)NC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,5.5934598195660445,1
C1=C/CCCCCC[n+]2cccc(c2)CCCCCCCCCCCCC[n+]2cccc(c2)CCCCCC/1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,4.522878745280337,1
C1=C/CCCCCC[n+]2cccc(c2)CCCCCCCCCCCC[n+]2cccc(c2)CCCCCC/1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,4.769551078621726,1
C1=C/CCCC[n+]2cccc(c2)CCCCCCCCCCCC[n+]2cccc(c2)CCCCCC/1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,4.214670164989233,1
C1=C/CCC[n+]2cccc(c2)CCCCCCCCCCCC[n+]2cccc(c2)CCCCCC/1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,4.096910013008056,1
C1=C\CCCCCC[n+]2cccc(c2)CCCCCCCCCCCC[n+]2cccc(c2)CCCCCC/1,4.568636235841013,1
C=C(C)[C@H](CC=C(C)C)C[C@]12C[C@H](CC=C(C)C)C(C)(C)[C@](CC=C(C)C)(C(=O)/C(=C(/O)c3ccc(O)c(O)c3)C1=O)C2=O,4.6020599913279625,1
C=C(C)[C@H](CC=C(C)C)C[C@]12C[C@H](CC=C(C)C)C(C)(C)[C@](CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)=C1O)C2=O,4.6020599913279625,1
C=C(C)[C@H]1NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C)C(=O)N2)OC(=O)C[C@@H]1O,8.481486060122112,1
C=C(CC)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2CC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,5.838631997765026,1
C=C(CCCCCCCC(=O)NO)c1ccc2ccccc2c1,8.096910013008056,1
C=C(c1cc(OC)c(OC)c(OC)c1)c1ccc(OC)cc1/C=C/C(=O)NO,7.221848749616356,1
C=C(c1cc(OC)c(OC)c(OC)c1)c1ccc2c(c1)c(/C=C/C(=O)NO)cn2C,6.619788758288394,1
C=C(c1cc(OC)c(OC)c(OC)c1)c1ccc2c(c1)cc(/C=C/C(=O)NO)n2C,5.207608310501746,1
C=C(c1ccc(C(=O)NO)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,5.173925197299173,1
C=C(c1ccc(OC)c(/C=C/C(=O)NO)c1)c1cc(OC)c(OC)c(OC)c1,6.468521082957745,2
C=C1C(=O)N(C)[C@H](C)[C@H](O)N1C(=O)/C=C/C=C[C@@H](CO)[C@H](O)[C@H](C)CCC,6.045757490560675,1
C=C1C(=O)N(C)[C@H](C)[C@H](O)N1C(=O)/C=C/C=C\[C@@H](CO)[C@H](O)[C@H](C)CCC,6.045757490560675,1
