canonical_smiles,pIC50,n_measurements
C=CCCC(=O)Nc1ccc(C(=O)N2CCc3nc(C(=O)NO)sc3C2)cc1,6.4089353929735005,1
C=CCCC(=O)Nc1ccc(C(C)N2CCc3nc(C(=O)NO)sc3C2)cn1,4.8696662315049934,1
C=CCCCNc1cc(/C=C/C(=O)NO)ccc1SCCN(CC)CC,6.508638306165727,1
C=CCCn1cc(-c2nc(Nc3ccc(NC(=O)CCCCCCC(=O)NO)cc3)nc3[nH]ccc23)cn1,9.602059991327963,1
C=CCN1CCc2c(c3ccccc3n2Cc2ccc(C(=O)NO)cc2)C1,9.012333735073726,1
C=CCNc1cc(/C=C/C(=O)NO)ccc1SCCN(CC)CC,6.455931955649724,1
C=CCn1c(SCCCCCC(=O)NO)nnc1-c1ccncc1,3.540667835107996,1
C=CCn1c(SCCCCCC(=O)Nc2ccccc2N)nnc1-c1ccncc1,5.009217308196862,1
C=CCn1c(SCc2ccc(C(=O)NO)cc2)nnc1-c1ccncc1,5.006123085058789,1
C=CCn1c(SCc2ccc(C(=O)Nc3ccccc3N)cc2)nnc1-c1ccncc1,5.001740661576301,1
C=C[C@@]1(C)CC[C@H](C(=C)CN2CCN(C(=O)CCCCCCC(=O)NO)CC2)C[C@@H]1C(=C)Cn1cccn1,8.045757490560675,1
C=C[C@]1(C)CC[C@@H](C(=C)Cn2cccn2)C[C@H]1C(=C)CN1CCN(C(=O)CCCCCCC(=O)NO)CC1,7.853871964321762,1
C=Cc1sc(-c2nccs2)nc1C(=O)NCCCCC(=O)NO,6.0106589354316595,3
C=Cc1sc(-c2nccs2)nc1C(=O)NCCCNC(=O)CS,6.1598939055432425,1
C=c1[nH]n(-c2ccc(C(=O)O)cc2)c(=O)c1=Cc1ccc(-c2cc(C)c(C)cc2[N+](=O)[O-])o1,5.154901959985743,1
CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,8.20739247554794,61
CC(/C=C/C(=O)NO)=C\[C@@H](C)[C@H]1CC[C@H]2/C(=C/C=C3\C[C@@H](O)C[C@@H](O)C3)CCC[C@]12C,6.236572006437063,1
CC(/C=C/C(=O)NO)=C\[C@H](C)C(=O)c1ccc(N(C)C)cc1,7.657577319177793,1
CC(/C=C/C(=O)NO)=C\c1ccc(NS(=O)(=O)c2ccc(N(CCCl)CCCl)cc2)cc1,6.319664486585436,1
CC(/C=C/c1ccccc1)=C\C(=O)NCCCCCC(=O)NO,8.455931955649724,1
CC(=C/[C@@H](C)C(=O)c1ccc(N(C)C)cc1)/C=C/C(=O)NO,7.301029995663981,1
CC(=CC(C)C=CC(=O)NO)C(=O)c1ccc(N(C)C)cc1,7.909494140042452,28
CC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC(=O)C(C)(C)NC1=O,5.431798275933005,1
CC(=O)CCCCC[C@H](NC(=O)C1CCCCN1C)C(=O)Nc1nc(-c2ccccc2)cs1,7.886056647693163,1
CC(=O)CCCCC[C@H](NC(=O)C1CCN(C)CC1)c1nc(-c2ccc3ccccc3c2)c[nH]1,8.0,1
CC(=O)CCCCC[C@H](NC1CCCCN1C)C(=O)Nc1nc(-c2ccccc2)cs1,7.886056647693163,1
CC(=O)N(C)C[C@@H](Nc1ncc(-c2nnc(C(F)F)o2)cn1)c1ccc(F)cc1,6.443697499232712,1
CC(=O)N(C)C[C@H](Nc1ncc(-c2nnc(C(F)F)o2)cn1)c1ccc(F)cc1,7.031517051446065,1
CC(=O)N(CC1CCN(c2ncc(C(=O)NO)cn2)CC1)C1(C(=O)NC(C)(C)C)CCNC1,6.1938200260161125,1
CC(=O)N(CC1CCN(c2ncc(C(=O)NO)cn2)CC1)C1(C(=O)NCCc2c[nH]c3ccccc23)CCNC1,6.455931955649724,1
CC(=O)N(CC1CCN(c2ncc(C(=O)NO)cn2)CC1)C1(C(=O)NCc2ccccc2)CCNC1,6.3979400086720375,1
CC(=O)N(CC1CCN(c2ncc(C(=O)NO)cn2)CC1)C1(C(=O)NCc2ccccc2)CCOC1,6.494850021680094,1
CC(=O)N(C[C@@H](Nc1ncc(-c2nnc(C(F)F)o2)cn1)c1ccc(F)cc1)CC(F)(F)F,6.958607314841775,1
CC(=O)N(C[C@H](Nc1ncc(-c2nnc(C(F)F)o2)cn1)c1ccc(F)cc1)CC(F)(F)F,6.161150909262744,1
CC(=O)N(Cc1ccc(C(C)(C)C)cc1)c1ccc(C(=O)NO)cc1,7.1487416512809245,1
CC(=O)N(Cc1cccc(C(F)(F)F)c1)c1ccc(C(=O)NO)cc1,6.928117992693874,1
CC(=O)N(Cc1ccco1)c1cccc(-c2cn(Cc3c(F)cc(-c4nnc(C(F)F)o4)cc3F)nn2)c1,7.031517051446065,1
CC(=O)N(c1ccc(C(=O)N(C)CCCCCCC(=O)NO)cc1)c1c(C)cccc1C,6.939713034397075,2
