canonical_smiles,pIC50,n_measurements
Br.CC(C)(C)c1ccc(CNCCCCNCCCNC(=O)CCCCC(=O)NO)cc1,4.599634726650061,1
Br.CC(C)(C)c1ccc(CNCCCCNCCCNC(=O)CCCCC(=O)O)cc1,4.006475596832934,1
Br.CC(C)(C)c1ccc(CNCCCCNCCCNC(=O)CCCCCCC(=O)NO)cc1,4.2955063029907015,1
Br.CN(C)c1ccc(CN(CCCNCCCCN)C(=O)CCCCC(=O)NO)cc1,4.397831448621003,1
Br.CS(=O)(=O)SCCN,3.703334809738469,1
Br.O=C(CCCCC(=O)NCCCNCCCCNCCC(c1ccccc1)c1ccccc1)NO,4.09555495892309,1
Br.O=C(CCCCC(=O)NCCCNCCCNCCCNCCCNCC1CCCCCC1)NO,4.229368872222193,1
Br.O=C(CCCCCCC(=O)NCCCNCCCCNCCC(c1ccccc1)c1ccccc1)NO,4.582528306796707,1
C#CC(=O)N1CCC(OC(=O)NCc2ccc(C(=O)Nc3ccccc3N)cc2)CC1,6.1771783546968955,2
C#CCC(CCCCCC(=O)Nc1ccccc1)C(=O)NO,4.060480747381382,1
C#CCCCn1c(Sc2cccc(OCC(=O)NO)c2)nc2c(N)ncnc21,7.0,1
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)c(Cl)cc1Cl,5.482804102050025,2
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)ccc1Cl,7.522878745280337,2
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCC(=O)NO)ccc1Cl,5.636388020107855,2
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCCC(=O)NO)ccc1Cl,5.847711655616944,2
C#CCN(C)CCCOc1cc(NCc2ccc(/C=C/C(=O)NO)cc2)ccc1Cl,6.292429823902063,2
C#CCN(C)CCCOc1cc(NCc2ccc(C(=O)NO)cc2)ccc1Cl,5.600326278518962,2
C#CCN(C)CCCOc1ccc(NC(=O)CCCCCCC(=O)NO)cc1Cl,6.853871964321762,2
C#CCN(C)CCCOc1cccc(NC(=O)CCCCCCC(=O)NO)c1Cl,6.050609993355087,2
C#CCN(C)Cc1cccc(NC(=O)CCCCCCC(=O)NO)c1,6.171984935776023,2
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NCCCNC(=O)c2ccc(C(=O)NO)cc2)cc1,7.800682837730804,2
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NCCNC(=O)c2ccc(C(=O)NO)cc2)cc1,7.060705498728979,2
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NCc2ccc(C(=O)NO)cc2)cc1,7.069663333934647,2
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NO)cc1,5.920818753952375,2
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1,6.265148189264405,2
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)Nc2cccc(C(=O)NO)c2)cc1,6.149381331096474,2
C#CCN1CCN(CCCOc2ccc3c(ccn3S(=O)(=O)c3ccc(C(=O)NNCCC)cc3)c2)CC1,6.863279432843593,2
C#CCN1CCN(CCCOc2ccc3c(ccn3S(=O)(=O)c3ccc(C(=O)NO)cc3)c2)CC1,5.3979400086720375,2
C#CCN1CCN(CCCOc2ccc3c(ccn3S(=O)(=O)c3ccc(C(=O)Nc4ccccc4N)cc3)c2)CC1,6.853871964321762,2
C#CCNC(=O)CCNc1c(CCCCCC)nc2cc(/C=C/C(=O)NO)ccn12,6.853871964321762,1
C#CCn1c(=O)c(OCc2ccc(C(=O)NO)cc2)c(-c2ccccc2)c2ccccc21,5.214670164989233,2
C#Cc1cc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)ccc1F,8.468521082957745,2
C#Cc1ccc(-n2nc(N)c(C(=O)NCc3ccc(C(=O)NO)cc3)n2)cc1,8.769551078621726,2
C#Cc1ccc(-n2nc(N)c(C(=O)NCc3ccc(C(=O)Nc4ccccc4N)cc3)n2)cc1,7.107905397309519,2
C#Cc1ccc(CNC(=O)O[C@H]2C[C@@H](C)C=C3C=C[C@H](C)[C@H](CC[C@@H]4C[C@@H](O[Si](C)(C)C(C)(C)C)CC(=O)O4)[C@H]32)cc1,6.904133546521457,1
C#Cc1ccc(NC(=O)O[C@H]2C[C@@H](C)C=C3C=C[C@H](C)[C@H](CC[C@@H]4C[C@@H](O[Si](C)(C)C(C)(C)C)CC(=O)O4)[C@H]32)cc1,6.798602875679549,1
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(=O)NO)c(OC)cc2O)c1,5.730487055782083,1
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(=O)NO)ccc2O)c1,5.388276691992658,1
C#Cc1cccc(NC(=O)c2cc(NC(=O)CCCCCC(=O)NO)ccc2OC)c1,6.251811972993799,1
