SMILES,pIC50_pred,IC50_nM_est,IC50_tier,docking_pred,zbg_tag,pains_brenk_flagged,soft_metabolic_liability,sa_score,MW,cLogP,HBD,HBA,TPSA,RotB,l_shape_2d_proxy,pIC50_hdac1_pred,pIC50_hdac6_pred,selectivity_vs_hdac1,selectivity_vs_hdac6,docking_hdac1_pred,docking_hdac6_pred,docking_selectivity,passes_ic50_selectivity,periphery_touched,ic50_model_max_similarity,dock_model_max_similarity,ic50_model_low_confidence,dock_model_low_confidence,zbg_precedent_count,zbg_low_precedent,zbg_real_pic50_ceiling,exceeds_real_precedent,cluster_id,cluster_size
CCCc1ccc(C[C@@H](N)C(=O)N2Cc3cc(CC(C)C#N)c(C(=O)NC)cc3C2)c(CC#N)c1,7.406610001368976,39.20938212856583,Tier 1 (<150 nM),-8.63887251913691,alpha-amino-amide,False,False,3.7971453956525565,471.60500000000025,3.1791600000000013,2,5,123.00999999999999,9,2.3715456289113614,5.668839272575542,6.374900925300776,1.7377707287934339,1.0317090760682,-6.219239690785954,-6.923169819126197,1.7157027000107137,False,False,0.42857142857142855,0.26506024096385544,False,True,58,False,6.995678626217357,True,1,33
CCCc1ccc(C[C@@H](N)C(=O)N2Cc3cc(CNC)c(C(C)=O)cc3C2)c(CC#N)c1,7.333878905134281,46.35761612296279,Tier 1 (<150 nM),-7.083793431349305,alpha-amino-amide,False,False,3.3468127822003435,432.5680000000002,3.039380000000002,2,5,99.22,9,2.7564171628992273,5.528724864561841,5.910526614420334,1.8051540405724396,1.4233522907139466,-6.22362469426973,-6.85363231981322,0.2301611115360851,True,False,0.4794520547945205,0.275,False,True,58,False,6.995678626217357,True,1,33
CCCc1ccc(C[C@@H](N)C(=O)N2Cc3cc(C(=O)NC)c(C(CC)CN)cc3C2)c(CC#N)c1,7.31977958426078,47.887307119049815,Tier 1 (<150 nM),-8.795319426614943,alpha-amino-amide,False,False,3.787403127611319,475.6370000000003,2.929280000000001,3,5,125.24000000000001,10,2.6921726078292267,5.3021341949917025,5.778404165777571,2.0176453892690773,1.5413754184832085,-6.319424410585167,-6.972218617142629,1.8231008094723142,True,False,0.4177215189873418,0.25882352941176473,False,True,58,False,6.995678626217357,True,1,33
CCCCC(CNC(=O)NC)c1ccc2c(c1)CN(C(=O)[C@H](N)Cc1ccc(Cl)cc1C)C2,7.287933139183762,51.53079715385242,Tier 1 (<150 nM),-7.347467438204439,alpha-amino-amide,False,False,3.3728057592908964,471.0450000000003,4.263420000000003,3,3,87.46000000000001,9,2.329081395355124,5.760581695950557,5.886011163297087,1.5273514432332052,1.4019219758866752,-5.332745514375761,-6.820564093435875,0.5269033447685638,True,False,0.5492957746478874,0.2558139534883721,False,True,58,False,6.995678626217357,True,9,11
CCCCC(CNC)c1ccc2c(c1)CN(C(=O)[C@H](N)Cc1ccc(Cl)cc1CO)C2,7.283553698191279,52.05306439906794,Tier 1 (<150 nM),-7.123065189615886,alpha-amino-amide,False,False,3.4030307459463334,444.01900000000023,3.737700000000002,3,4,78.59,10,2.915851135797377,5.926366080503328,6.228699027344406,1.3571876176879512,1.0548546708468738,-5.556963570456088,-6.58889107372639,0.5341741158894964,False,False,0.5352112676056338,0.2619047619047619,False,True,58,False,6.995678626217357,True,9,11
CCc1ccc(C[C@@H](N)C(=O)N2Cc3ccc(C(CC)CC(NC)NC)cc3C2)c(Cl)c1,7.282042154465014,52.2345485469412,Tier 1 (<150 nM),-7.40313424956066,alpha-amino-amide,True,False,3.6299125203223843,457.0620000000001,3.9632000000000023,3,4,70.39,10,2.365888490417346,5.054986460911083,5.134632462997829,2.2270556935539307,2.1474096914671845,-5.339416994962128,-6.265757034220361,1.1373772153402992,True,False,0.5735294117647058,0.24096385542168675,False,True,58,False,6.995678626217357,True,9,11
CNC(=O)c1cc2c(cc1-c1ccoc1)CN(C(=O)[C@H](N)Cc1ccc(CCC#N)cc1Cl)C2,7.28096120430425,52.36472121065306,Tier 1 (<150 nM),-7.892222094899369,alpha-amino-amide,False,False,3.3760269518039134,476.9640000000003,3.827980000000002,2,5,112.36000000000001,7,2.7342581961143804,5.580534418355089,6.280934877631084,1.700426785949161,1.0000263266731668,-5.831257783709261,-5.8348065446722295,2.057415550227139,False,False,0.4935064935064935,0.28735632183908044,False,True,58,False,6.995678626217357,True,1,33
CCCCC(CC(N)=O)c1ccc2c(c1)CN(C(=O)[C@H](N)Cc1cc(C(C)(C)C)c(NC)cc1C)C2,7.264239683830537,54.42022288667291,Tier 1 (<150 nM),-7.817579729420217,alpha-amino-amide,False,False,3.6597648750249068,492.70800000000037,4.895620000000004,3,4,101.45,10,2.508134996051752,5.592624610272564,5.566791764110791,1.6716150735579731,1.697447919719746,-5.630851508912994,-6.538450518738703,1.2791292106815142,True,False,0.3875,0.2247191011235955,False,True,58,False,6.995678626217357,True,10,6
CNC(=O)NCC(CCCl)c1ccc2c(c1)CN(C(=O)[C@H](N)Cc1ccc(CC#N)cc1C)C2,7.261969980467442,54.70537753271048,Tier 1 (<150 nM),-8.418771853586476,alpha-amino-amide,True,False,3.665912060496396,482.0280000000003,3.1148000000000016,3,4,111.25,9,2.022268514202121,5.658091120513122,6.0484344218130035,1.6038788599543201,1.2135355586544385,-5.348722071389884,-6.894025257954138,1.5247465956323376,False,False,0.47435897435897434,0.25882352941176473,False,True,58,False,6.995678626217357,True,10,6
CCc1ccc(C[C@@H](N)C(=O)N2Cc3ccc(C(CC)CC(NC)NC(N)=O)cc3C2)c(Cl)c1,7.251724733546091,56.01125020001283,Tier 1 (<150 nM),-7.320361931684418,alpha-amino-amide,True,False,3.858482324278101,486.0600000000002,3.4121000000000006,4,4,113.47999999999999,10,2.4697703347169147,5.241057279855712,5.175092060926172,2.0106674536903792,2.076632672619919,-5.907374952056663,-5.948640536201634,1.3717213954827834,True,False,0.5342465753424658,0.23157894736842105,False,True,58,False,6.995678626217357,True,9,11
