SMILES,pIC50_pred,IC50_nM_est,IC50_tier,docking_pred,zbg_tag,pains_brenk_flagged,soft_metabolic_liability,sa_score,MW,cLogP,HBD,HBA,TPSA,RotB,l_shape_2d_proxy,pIC50_hdac1_pred,pIC50_hdac6_pred,selectivity_vs_hdac1,selectivity_vs_hdac6,docking_hdac1_pred,docking_hdac6_pred,docking_selectivity,passes_ic50_selectivity,periphery_touched,ic50_model_max_similarity,dock_model_max_similarity,ic50_model_low_confidence,dock_model_low_confidence,zbg_precedent_count,zbg_low_precedent,zbg_real_pic50_ceiling,exceeds_real_precedent,cluster_id,cluster_size
CNC(=O)c1c(F)cc(Cl)c(C(Cl)(C(N)=O)n2cccc(O)c2=S)c1N1CCOCC1,6.304938367630078,495.5205070016005,Tier 3 (300-500 nM),-7.305645804602524,3-HPT,True,False,3.842098532763514,489.3560000000003,2.33709,3,6,109.82000000000001,5,1.1995553020704282,6.180477341579286,6.273088535853383,0.1244610260507919,0.03184983177669487,-5.376932859220918,-6.502115142931895,0.8035306616706297,False,True,0.2653061224489796,0.27906976744186046,True,True,27,False,6.247789037426088,True,1,1
CCOCOC1(OCCS(C)(=O)=O)CCN=C2c3c(ccc(CO)c3F)SC(=S)N21,6.626240124371018,236.46119259746555,Tier 2 (150-300 nM),-7.192329134779323,Cyclic-thione,True,False,4.310811394667745,478.58900000000017,1.8864999999999994,1,9,97.66,9,1.8960977529472296,5.9077857811104595,6.410754238696844,0.7184543432605581,0.21548588567417326,-6.337130855310171,-6.402207689468231,0.7901214453110921,False,True,0.2894736842105263,0.25,True,True,50,False,7.244125144327508,False,0,6
CCOC(CC)OC1(OCCS(C)(=O)=O)CCN=C2c3cc(CO)ccc3SC(=S)N21,6.500673366086055,315.7378402414839,Tier 3 (300-500 nM),-7.709411678278996,Cyclic-thione,True,False,4.456324009779532,488.6530000000002,2.5260000000000007,1,9,97.66,10,1.554321540585969,5.413736734379081,6.524252073631747,1.0869366317069735,-0.023578707545691913,-6.5240356391914,-6.611434817127272,1.0979768611517242,False,True,0.3037974683544304,0.21153846153846154,True,True,50,False,7.244125144327508,False,0,6
CCOCOC1(OCCS(C)(=O)=O)CCN=C2c3cc(CO)c(C)cc3SC(=S)N21,6.360689807805607,435.8230465080637,Tier 3 (300-500 nM),-7.537373004476558,Cyclic-thione,True,False,4.254632710701108,474.6260000000002,2.0558199999999998,1,9,97.66,9,1.8840634243510697,5.790923557370864,6.874627359932,0.5697662504347427,-0.5139375521263929,-6.427197486454097,-6.700770340904729,0.8366026635718296,False,True,0.2972972972972973,0.21505376344086022,True,True,50,False,7.244125144327508,False,0,6
CCOCOC1(OCCS(C)(=O)=O)CCN=C2c3cc(CO)ccc3SC(=S)N21,6.349553226569416,447.14334712072326,Tier 3 (300-500 nM),-7.768866574002184,Cyclic-thione,True,False,4.140930385602976,460.59900000000016,1.7473999999999998,1,9,97.66,9,1.8987629000046282,5.764499276162893,6.568612167683702,0.5850539504065226,-0.21905894111428648,-6.54612155083483,-6.64147664824439,1.127389925757794,False,True,0.3287671232876712,0.22916666666666666,True,True,50,False,7.244125144327508,False,0,6
